id,date,dow,opponent,opponentType,opponentCustom,stance,stadium,stadiumType,stadiumCustom,cancel,scoreMyTeam,scoreOpponent,comment,satisfaction
1777305469020,2018-08-10,金曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,0,,3
1777305525180,2018-06-07,木曜日,千葉ロッテマリーンズ,千葉ロッテマリーンズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,9,8,吉見2回6失点から逆転サヨナラ,5
1777305557090,2018-04-30,月曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,3,1,松坂中日で初勝利,4
1777305609060,2016-08-09,火曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,1,谷繁当日欠場＆退任,3
1777305642624,2013-08-24,土曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,1,4,平田誤審ライトフライ（和田監督退場）,4
1777305685523,2013-08-23,金曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,7,,2
1777305712647,2025-09-03,水曜日,阪神タイガース,阪神タイガース,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,5,2,,3
1777305747575,2025-09-17,水曜日,横浜DeNAベイスターズ,横浜DeNAベイスターズ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,0,1,,2
1777305781631,2025-09-19,金曜日,東京ヤクルトスワローズ,東京ヤクルトスワローズ,オーストラリア,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,6,久しぶりのソロ観戦（寂しい）,2
1777305820060,2025-09-22,月曜日,オリックス・バファローズ,オリックス・バファローズ,,ホーム,みずほPayPayドーム福岡,みずほPayPayドーム福岡,,false,0,1,,2
1777305845452,2025-09-23,火曜日,オリックス・バファローズ,オリックス・バファローズ,,ホーム,みずほPayPayドーム福岡,みずほPayPayドーム福岡,,false,0,1,,2
1777305947497,2026-04-15,水曜日,広島東洋カープ,広島東洋カープ,,ホーム,バンテリンドームナゴヤ,バンテリンドームナゴヤ,,false,2,5,,2
1777306025790,2026-04-18,土曜日,阪神タイガース,阪神タイガース,,ビジター,甲子園球場,甲子園球場,,false,3,4,初甲子園,2
1777306051730,2026-04-19,日曜日,阪神タイガース,阪神タイガース,,ビジター,甲子園球場,甲子園球場,,false,5,7,,3
